15	10	E	-7555723.021070745	200
emissionprobs	14	5	H3K4me1	1	4.97829463603307E-4
emissionprobs	14	6	H3K4me2	0	0.9997933492728323
emissionprobs	14	6	H3K4me2	1	2.066507271677236E-4
emissionprobs	14	7	H3K4me3	0	0.9977673857951879
emissionprobs	14	7	H3K4me3	1	0.0022326142048120913
emissionprobs	14	8	H3K79me2	0	0.9968859860892982
emissionprobs	14	8	H3K79me2	1	0.003114013910701834
emissionprobs	14	9	H3K9me3	0	0.6622634346752889
emissionprobs	14	9	H3K9me3	1	0.3377365653247111
emissionprobs	15	0	3K9ac	0	0.9992240198358715
emissionprobs	15	0	3K9ac	1	7.759801641285476E-4
emissionprobs	15	1	H2AFZ	0	0.9994596904930104
emissionprobs	15	1	H2AFZ	1	5.403095069895828E-4
emissionprobs	15	2	H3K27ac	0	0.9994255866424483
emissionprobs	15	2	H3K27ac	1	5.744133575517633E-4
emissionprobs	15	3	H3K27me3	0	0.9999481125452385
emissionprobs	15	3	H3K27me3	1	5.18874547614834E-5
emissionprobs	15	4	H3K36me3	0	0.9998692782143688
emissionprobs	15	4	H3K36me3	1	1.3072178563124648E-4
emissionprobs	15	5	H3K4me1	0	0.9998961391995499
emissionprobs	15	5	H3K4me1	1	1.0386080045000982E-4
emissionprobs	15	6	H3K4me2	0	0.9999062226413094
emissionprobs	15	6	H3K4me2	1	9.377735869061571E-5
emissionprobs	15	7	H3K4me3	0	0.9999377800971115
emissionprobs	15	7	H3K4me3	1	6.221990288848911E-5
emissionprobs	15	8	H3K79me2	0	0.9999837531466208
emissionprobs	15	8	H3K79me2	1	1.6246853379178812E-5
emissionprobs	15	9	H3K9me3	0	0.9911138110723742
emissionprobs	15	9	H3K9me3	1	0.008886188927625785
